Customer ID,Customer Name,Segment,Country,State,City,Postal Code,Region
CG-12520,Claire Gute,,United States,,,42420,South
DV-13045,Darrin Van Huff,Corporate,United States,California,Los Angeles,90036,West
SO-20335,Sean O'Donnell,,United States,,,33311,South
BH-11710,Brosina Hoffman,Consumer,United States,California,Los Angeles,90032,West
AA-10480,Andrew Allen,Consumer,United States,North Carolina,Concord,28027,South
IM-15070,Irene Maddox,Consumer,United States,Washington,Seattle,98103,West
HP-14815,Harold Pawlan,,United States,,,76106,Central
PK-19075,Pete Kriz,Consumer,United States,Wisconsin,Madison,53711,Central
AG-10270,Alejandro Grove,Consumer,United States,Utah,West Jordan,84084,West
ZD-21925,Zuschuss Donatelli,Consumer,United States,California,San Francisco,94109,West
KB-16585,Ken Black,Corporate,United States,Nebraska,Fremont,68025,Central
SF-20065,Sandra Flanagan,,United States,,,19140,East
EB-13870,Emily Burns,Consumer,United States,Utah,Orem,84057,West
EH-13945,Eric Hoffmann,Consumer,United States,California,Los Angeles,90049,West
TB-21520,Tracy Blumstein,Consumer,United States,Pennsylvania,Philadelphia,19140,East
MA-17560,Matt Abelman,Home Office,United States,Texas,Houston,77095,Central
GH-14485,Gene Hale,,United States,,,75080,Central
SN-20710,Steve Nguyen,Home Office,United States,Texas,Houston,77041,Central
LC-16930,Linda Cazamias,Corporate,United States,Illinois,Naperville,60540,Central
RA-19885,Ruben Ausman,Corporate,United States,California,Los Angeles,90049,West
ES-14080,Erin Smith,Corporate,United States,Florida,Melbourne,32935,South
ON-18715,Odella Nelson,Corporate,United States,Minnesota,Eagan,55122,Central
PO-18865,Patrick O'Donnell,Consumer,United States,Michigan,Westland,48185,Central
LH-16900,Lena Hernandez,,United States,,,19901,East
DP-13000,Darren Powers,Consumer,United States,Indiana,New Albany,47150,Central
JM-15265,Janet Molinari,Corporate,United States,New York,New York City,10024,East
TB-21055,Ted Butterfield,Consumer,United States,New York,Troy,12180,East
KM-16720,Kunst Miller,Consumer,United States,California,Los Angeles,90004,West
PS-18970,Paul Stevenson,Home Office,United States,Illinois,Chicago,60610,Central
BS-11590,Brendan Sweed,Corporate,United States,Arizona,Gilbert,85234,West
KD-16270,Karen Daniels,Consumer,United States,Virginia,Springfield,22153,South
HM-14980,Henry MacAllister,Consumer,United States,New York,New York City,10009,East
JE-15745,Joel Eaton,Consumer,United States,Tennessee,Memphis,38109,South
KB-16600,Ken Brennan,Corporate,United States,Texas,Houston,77041,Central
SC-20770,Stewart Carmichael,Corporate,United States,Alabama,Decatur,35601,South
DN-13690,Duane Noonan,Consumer,United States,California,San Francisco,94122,West
JC-16105,Julie Creighton,Corporate,United States,North Carolina,Durham,27707,South
CS-12400,Christopher Schild,Home Office,United States,Illinois,Chicago,60623,Central
PG-18895,Paul Gonzalez,Consumer,United States,Minnesota,Rochester,55901,Central
GM-14455,Gary Mitchum,,United States,,,77095,Central
JS-15685,Jim Sink,Corporate,United States,California,Los Angeles,90036,West
KB-16315,Karl Braun,,United States,,,55407,Central
RB-19705,Roger Barcio,Home Office,United States,Oregon,Portland,97206,West
PN-18775,Parhena Norris,,United States,,,10009,East
KD-16345,Katherine Ducich,Consumer,United States,California,San Francisco,94122,West
ER-13855,Elpida Rittenbach,Corporate,United States,Minnesota,Saint Paul,55106,Central
RB-19465,Rick Bensley,Home Office,United States,Illinois,Chicago,60610,Central
GZ-14470,Gary Zandusky,Consumer,United States,Minnesota,Rochester,55901,Central
LC-16870,Lena Cacioppo,,United States,,,80013,West
JM-15250,Janet Martin,,United States,,,28205,South
PA-19060,Pete Armstrong,Home Office,United States,Illinois,Orland Park,60462,Central
